"b_alt1","b_alt2","b_Erreichbarkeit","b_Miete","b_Naturnähe","b_HealthMC","b_IncomeMC","logLike"
0,0,0,0,0,0,0,-37259.4357701789
0,0,0,0,0,0,0,-37259.4357701789
-0.000599552,-0.0005440512,-0.0281985245866682,-0.0234748689297243,0.00167519573333334,0.00353047661754334,0.00484082057562469,-31074.8109744177
-0.000715965989590823,-0.000629966439718042,-0.0304229673166209,-0.0261899728384782,0.00207854563239152,0.00156576734306786,0.00136688588210741,-30346.1830084336
-0.00243456750790251,-0.00163000013052703,-0.0197096264261576,-0.0419600218082732,0.009045071216887,0.000176233037668477,0.00216096561644196,-30127.4649002294
-0.00282996472414841,-0.00185009881298273,-0.0194767391159562,-0.0422182602579463,0.0105440814152869,0.00111307913701806,0.00163103299712067,-30106.5614344001
-0.119441551824397,-0.0666096942419708,-0.0215860946094293,-0.0290753653905756,0.449079707333416,0.000467346710188312,0.00259955420121098,-27424.6831337897
-0.950853272151384,-0.906084090680169,-0.0109284159616375,-0.0195099098733251,0.438505783935427,0.000482737562341414,0.00294338767334643,-25193.7048197111
-0.926766399717585,-0.931634575492726,-0.0109282123663794,-0.0193415105955327,0.441477878084659,0.000484781883537266,0.00294368705612851,-25193.1070628565
-1.05212848914594,-1.02241555069592,-0.0171738067979827,-0.0178665799952127,0.474985824745517,9.49396958776097e-05,-0.000948968181470096,-24746.4315430747
-1.05437692790741,-1.0243239083232,-0.0209024854289308,-0.0190296669055755,0.505119743925474,0.000242224248558381,-0.00158141764693435,-24669.7049051165
-1.04088299757525,-1.01281817782781,-0.0246097608251851,-0.0206740130182901,0.52779998766166,0.000317111822701205,-0.00200635727335866,-24642.1915946709
-1.03425153350512,-1.00777097824922,-0.0254448007433717,-0.0210508352461353,0.529406044740564,0.000314004661837847,-0.00203166892959633,-24641.1423989389
-1.03169171501963,-1.00582042643598,-0.0256027618440583,-0.0211266544015061,0.528603224321975,0.000303358173016696,-0.00201344905000689,-24641.0849692261
-1.03096052562455,-1.00524798547261,-0.0256131642265083,-0.0211378220756718,0.528130604266891,0.000296797789011344,-0.00200212925002169,-24641.0806321303
-1.03089908863462,-1.0051973543069,-0.0256065458882006,-0.02113792148935,0.528048161848413,0.000294691402535607,-0.00199919437253512,-24641.0804537342
-1.03089908415152,-1.0051973512146,-0.0256062738867202,-0.0211378555923147,0.528048143468445,0.000294248749267512,-0.00199857031905102,-24641.080447145
-1.03090700663484,-1.00519444863784,-0.0256056151144294,-0.0211380730362156,0.528069492118658,0.000294248662880047,-0.00199856637636671,-24641.0804457376
